ChipTime,ax(g),ay(g),az(g)
2021-01-02 15:47:54.445,-0.1206,-0.9580,0.2388
2021-01-02 15:47:54.455,-0.1206,-0.9585,0.2383
2021-01-02 15:47:54.465,-0.1206,-0.9585,0.2383
2021-01-02 15:47:54.475,-0.1206,-0.9585,0.2397
2021-01-02 15:47:54.485,-0.1206,-0.9595,0.2402
2021-01-02 15:47:54.505,-0.1206,-0.9595,0.2402
2021-01-02 15:47:54.515,-0.1211,-0.9570,0.2402
2021-01-02 15:47:54.525,-0.1211,-0.9570,0.2402
2021-01-02 15:47:54.535,-0.1216,-0.9575,0.2397
2021-01-02 15:47:54.545,-0.1216,-0.9575,0.2397
2021-01-02 15:47:54.555,-0.1211,-0.9585,0.2393
2021-01-02 15:47:54.565,-0.1211,-0.9585,0.2393
2021-01-02 15:47:54.575,-0.1226,-0.9575,0.2393
2021-01-02 15:47:54.585,-0.1226,-0.9575,0.2393
2021-01-02 15:47:54.595,-0.1201,-0.9590,0.2383
2021-01-02 15:47:54.605,-0.1201,-0.9590,0.2383
2021-01-02 15:47:54.615,-0.1216,-0.9604,0.2388
2021-01-02 15:47:54.625,-0.1216,-0.9604,0.2388
2021-01-02 15:47:54.635,-0.1177,-0.9580,0.2373
2021-01-02 15:47:54.645,-0.1177,-0.9580,0.2373
2021-01-02 15:47:54.655,-0.1211,-0.9590,0.2368
2021-01-02 15:47:54.665,-0.1211,-0.9590,0.2368
2021-01-02 15:47:54.675,-0.1157,-0.9634,0.2324
2021-01-02 15:47:54.685,-0.1157,-0.9634,0.2324
2021-01-02 15:47:54.695,-0.1182,-0.9629,0.2324
2021-01-02 15:47:54.705,-0.1182,-0.9629,0.2324
2021-01-02 15:47:54.715,-0.1196,-0.9609,0.2339
2021-01-02 15:47:54.725,-0.1196,-0.9609,0.2339
2021-01-02 15:47:54.735,-0.1177,-0.9600,0.2344
2021-01-02 15:47:54.745,-0.1177,-0.9600,0.2344
2021-01-02 15:47:54.755,-0.1216,-0.9619,0.2314
2021-01-02 15:47:54.765,-0.1216,-0.9619,0.2314
2021-01-02 15:47:54.775,-0.1216,-0.9604,0.2334
2021-01-02 15:47:54.785,-0.1216,-0.9604,0.2334
2021-01-02 15:47:54.795,-0.1216,-0.9600,0.2305
2021-01-02 15:47:54.805,-0.1216,-0.9600,0.2305
2021-01-02 15:47:54.815,-0.1196,-0.9600,0.2314
2021-01-02 15:47:54.825,-0.1196,-0.9600,0.2314
2021-01-02 15:47:54.835,-0.1177,-0.9653,0.2261
2021-01-02 15:47:54.845,-0.1177,-0.9653,0.2261
2021-01-02 15:47:54.855,-0.1196,-0.9629,0.2285
2021-01-02 15:47:54.865,-0.1196,-0.9629,0.2285
2021-01-02 15:47:54.875,-0.1211,-0.9614,0.2295
2021-01-02 15:47:54.885,-0.1211,-0.9614,0.2295
2021-01-02 15:47:54.895,-0.1191,-0.9614,0.2300
2021-01-02 15:47:54.905,-0.1191,-0.9614,0.2300
2021-01-02 15:47:54.915,-0.1201,-0.9619,0.2310
2021-01-02 15:47:54.925,-0.1201,-0.9619,0.2310
2021-01-02 15:47:54.935,-0.1211,-0.9580,0.2339
2021-01-02 15:47:54.945,-0.1211,-0.9580,0.2339
2021-01-02 15:47:54.955,-0.1226,-0.9585,0.2334
2021-01-02 15:47:54.965,-0.1226,-0.9585,0.2334
2021-01-02 15:47:54.975,-0.1216,-0.9600,0.2314
2021-01-02 15:47:54.985,-0.1216,-0.9600,0.2314
2021-01-02 15:47:54.995,-0.1216,-0.9609,0.2314
2021-01-02 15:47:55.005,-0.1216,-0.9609,0.2314
2021-01-02 15:47:55.015,-0.1211,-0.9609,0.2300
2021-01-02 15:47:55.025,-0.1211,-0.9609,0.2300
2021-01-02 15:47:55.035,-0.1196,-0.9619,0.2310
2021-01-02 15:47:55.045,-0.1196,-0.9619,0.2310
2021-01-02 15:47:55.055,-0.1182,-0.9624,0.2295
2021-01-02 15:47:55.065,-0.1182,-0.9624,0.2295
2021-01-02 15:47:55.075,-0.1206,-0.9609,0.2300
2021-01-02 15:47:55.085,-0.1206,-0.9609,0.2300
2021-01-02 15:47:55.095,-0.1226,-0.9614,0.2290
2021-01-02 15:47:55.105,-0.1226,-0.9614,0.2290
2021-01-02 15:47:55.115,-0.1221,-0.9619,0.2290
2021-01-02 15:47:55.125,-0.1221,-0.9619,0.2290
2021-01-02 15:47:55.135,-0.1221,-0.9604,0.2310
2021-01-02 15:47:55.145,-0.1221,-0.9604,0.2310
2021-01-02 15:47:55.155,-0.1191,-0.9609,0.2310
2021-01-02 15:47:55.165,-0.1191,-0.9609,0.2310
2021-01-02 15:47:55.175,-0.1216,-0.9609,0.2305
2021-01-02 15:47:55.185,-0.1216,-0.9609,0.2305
2021-01-02 15:47:55.195,-0.1226,-0.9604,0.2310
2021-01-02 15:47:55.205,-0.1226,-0.9604,0.2310
2021-01-02 15:47:55.215,-0.1216,-0.9614,0.2295
2021-01-02 15:47:55.225,-0.1216,-0.9614,0.2295
2021-01-02 15:47:55.235,-0.1226,-0.9609,0.2295
2021-01-02 15:47:55.245,-0.1226,-0.9609,0.2295
2021-01-02 15:47:55.255,-0.1230,-0.9609,0.2305
2021-01-02 15:47:55.265,-0.1230,-0.9609,0.2305
2021-01-02 15:47:55.275,-0.1216,-0.9595,0.2324
2021-01-02 15:47:55.285,-0.1216,-0.9595,0.2324
2021-01-02 15:47:55.295,-0.1216,-0.9604,0.2310
2021-01-02 15:47:55.305,-0.1216,-0.9604,0.2310
2021-01-02 15:47:55.315,-0.1221,-0.9614,0.2300
2021-01-02 15:47:55.325,-0.1221,-0.9614,0.2300
2021-01-02 15:47:55.335,-0.1211,-0.9624,0.2280
2021-01-02 15:47:55.345,-0.1211,-0.9624,0.2280
2021-01-02 15:47:55.355,-0.1201,-0.9639,0.2275
2021-01-02 15:47:55.365,-0.1201,-0.9639,0.2275
2021-01-02 15:47:55.375,-0.1177,-0.9648,0.2285
2021-01-02 15:47:55.385,-0.1177,-0.9648,0.2285
2021-01-02 15:47:55.395,-0.1182,-0.9634,0.2280
2021-01-02 15:47:55.405,-0.1182,-0.9634,0.2280
2021-01-02 15:47:55.415,-0.1172,-0.9668,0.2236
2021-01-02 15:47:55.425,-0.1172,-0.9668,0.2236
2021-01-02 15:47:55.435,-0.1143,-0.9683,0.2271
2021-01-02 15:47:55.445,-0.1143,-0.9683,0.2271
